2019-07-24 11:21:16.319 febs [main] INFO  com.neefull.fsp.FebsApplication - Starting FebsApplication on HWBDAAV22A3PDXQ with PID 17148 (D:\workspace_open\FreelancePlatform\target\classes started by Administrator in D:\workspace_open\FreelancePlatform)
2019-07-24 11:32:47.247 febs [http-nio-8080-exec-7] INFO  p6spy - 2019-07-24 11:32:47 | 耗时 0 ms | SQL 语句：
SELECT count(DISTINCT (ip)) FROM t_login_log WHERE datediff(login_time, now()) = 0;
2019-07-24 11:32:47.254 febs [http-nio-8080-exec-7] INFO  p6spy - 2019-07-24 11:32:47 | 耗时 0 ms | SQL 语句：
SELECT date_format(l.login_time, '%m-%d') days, count(1) count FROM (SELECT * FROM t_login_log WHERE date_sub(curdate(), INTERVAL 10 day) <= date(login_time)) AS l WHERE 1 = 1 GROUP BY days;
2019-07-24 11:32:47.258 febs [http-nio-8080-exec-7] INFO  p6spy - 2019-07-24 11:32:47 | 耗时 0 ms | SQL 语句：
SELECT date_format(l.login_time, '%m-%d') days, count(1) count FROM (SELECT * FROM t_login_log WHERE date_sub(curdate(), INTERVAL 10 day) <= date(login_time)) AS l WHERE 1 = 1 AND l.username = 'MrBird' GROUP BY days;
2019-07-24 11:33:02.461 febs [http-nio-8080-exec-3] INFO  p6spy - 2019-07-24 11:33:02 | 耗时 1 ms | SQL 语句：
SELECT r.* FROM t_role r LEFT JOIN t_user_role ur ON (r.role_id = ur.role_id) LEFT JOIN t_user u ON (u.user_id = ur.user_id) WHERE u.username = 'MrBird';
2019-07-24 11:33:02.468 febs [http-nio-8080-exec-3] INFO  p6spy - 2019-07-24 11:33:02 | 耗时 1 ms | SQL 语句：
SELECT m.perms FROM t_role r LEFT JOIN t_user_role ur ON (r.role_id = ur.role_id) LEFT JOIN t_user u ON (u.user_id = ur.user_id) LEFT JOIN t_role_menu rm ON (rm.role_id = r.role_id) LEFT JOIN t_menu m ON (m.menu_id = rm.menu_id) WHERE u.username = 'MrBird' AND m.perms IS NOT NULL AND m.perms <> '';
2019-07-24 11:33:02.658 febs [http-nio-8080-exec-8] INFO  p6spy - 2019-07-24 11:33:02 | 耗时 0 ms | SQL 语句：
SELECT DEPT_ID, PARENT_ID, DEPT_NAME, ORDER_NUM, CREATE_TIME, MODIFY_TIME FROM t_dept;
2019-07-24 11:33:02.683 febs [http-nio-8080-exec-1] INFO  p6spy - 2019-07-24 11:33:02 | 耗时 1 ms | SQL 语句：
SELECT COUNT(1) FROM ( SELECT u.user_id userId, u.username, u.email, u.mobile, u.status, u.create_time createTime, u.ssex sex, u.dept_id deptId, u.last_login_time lastLoginTime, u.modify_time modifyTime, u.description, u.avatar, d.dept_name deptName, GROUP_CONCAT(r.role_id) roleId, GROUP_CONCAT(r.ROLE_NAME) roleName FROM t_user u LEFT JOIN t_dept d ON (u.dept_id = d.dept_id) LEFT JOIN t_user_role ur ON (u.user_id = ur.user_id) LEFT JOIN t_role r ON r.role_id = ur.role_id WHERE 1 = 1 GROUP BY u.username ) TOTAL;
2019-07-24 11:33:02.691 febs [http-nio-8080-exec-1] INFO  p6spy - 2019-07-24 11:33:02 | 耗时 1 ms | SQL 语句：
SELECT u.user_id userId, u.username, u.email, u.mobile, u.status, u.create_time createTime, u.ssex sex, u.dept_id deptId, u.last_login_time lastLoginTime, u.modify_time modifyTime, u.description, u.avatar, d.dept_name deptName, GROUP_CONCAT(r.role_id) roleId, GROUP_CONCAT(r.ROLE_NAME) roleName FROM t_user u LEFT JOIN t_dept d ON (u.dept_id = d.dept_id) LEFT JOIN t_user_role ur ON (u.user_id = ur.user_id) LEFT JOIN t_role r ON r.role_id = ur.role_id WHERE 1 = 1 GROUP BY u.username ORDER BY userId ASC LIMIT 0,10;
2019-07-24 11:33:07.754 febs [http-nio-8080-exec-6] INFO  p6spy - 2019-07-24 11:33:07 | 耗时 0 ms | SQL 语句：
SELECT u.user_id userId, u.username, u.email, u.mobile, u.password, u.status, u.create_time createTime, u.ssex sex, u.dept_id deptId, u.last_login_time lastLoginTime, u.modify_time modifyTime, u.description, u.avatar, u.theme, u.is_tab isTab, d.dept_name deptName, GROUP_CONCAT(r.role_id) roleId, GROUP_CONCAT(r.ROLE_NAME) roleName FROM t_user u LEFT JOIN t_dept d ON (u.dept_id = d.dept_id) LEFT JOIN t_user_role ur ON (u.user_id = ur.user_id) LEFT JOIN t_role r ON r.role_id = ur.role_id WHERE u.username = 'MrBird' GROUP BY u.username;
2019-07-24 11:33:11.659 febs [http-nio-8080-exec-3] INFO  p6spy - 2019-07-24 11:33:11 | 耗时 0 ms | SQL 语句：
SELECT u.user_id userId, u.username, u.email, u.mobile, u.password, u.status, u.create_time createTime, u.ssex sex, u.dept_id deptId, u.last_login_time lastLoginTime, u.modify_time modifyTime, u.description, u.avatar, u.theme, u.is_tab isTab, d.dept_name deptName, GROUP_CONCAT(r.role_id) roleId, GROUP_CONCAT(r.ROLE_NAME) roleName FROM t_user u LEFT JOIN t_dept d ON (u.dept_id = d.dept_id) LEFT JOIN t_user_role ur ON (u.user_id = ur.user_id) LEFT JOIN t_role r ON r.role_id = ur.role_id WHERE u.username = 'Scott' GROUP BY u.username;
2019-07-24 11:33:14.967 febs [http-nio-8080-exec-1] INFO  p6spy - 2019-07-24 11:33:14 | 耗时 0 ms | SQL 语句：
SELECT DEPT_ID, PARENT_ID, DEPT_NAME, ORDER_NUM, CREATE_TIME, MODIFY_TIME FROM t_dept ORDER BY ORDER_NUM ASC;
2019-07-24 11:33:21.666 febs [http-nio-8080-exec-2] INFO  p6spy - 2019-07-24 11:33:21 | 耗时 0 ms | SQL 语句：
SELECT MENU_ID, PARENT_ID, MENU_NAME, URL, PERMS, ICON, TYPE, ORDER_NUM, CREATE_TIME, MODIFY_TIME FROM t_menu ORDER BY ORDER_NUM ASC;
2019-07-24 11:33:33.886 febs [http-nio-8080-exec-7] INFO  p6spy - 2019-07-24 11:33:33 | 耗时 0 ms | SQL 语句：
SELECT COUNT(1) FROM t_login_log;
2019-07-24 11:33:33.888 febs [http-nio-8080-exec-7] INFO  p6spy - 2019-07-24 11:33:33 | 耗时 1 ms | SQL 语句：
SELECT ID, USERNAME, LOGIN_TIME, LOCATION, IP, `SYSTEM`, BROWSER FROM t_login_log ORDER BY login_time DESC LIMIT 0,10;
2019-07-24 11:33:35.281 febs [http-nio-8080-exec-1] INFO  p6spy - 2019-07-24 11:33:35 | 耗时 4 ms | SQL 语句：
SELECT COUNT(1) FROM t_log;
2019-07-24 11:33:35.282 febs [http-nio-8080-exec-1] INFO  p6spy - 2019-07-24 11:33:35 | 耗时 0 ms | SQL 语句：
SELECT ID, USERNAME, OPERATION, TIME, METHOD, PARAMS, IP, CREATE_TIME, LOCATION FROM t_log ORDER BY create_time DESC LIMIT 0,10;
2019-07-24 11:34:03.190 febs [http-nio-8080-exec-2] INFO  p6spy - 2019-07-24 11:34:03 | 耗时 6 ms | SQL 语句：
SELECT ID, author, base_package, entity_package, mapper_package, mapper_xml_package, service_package, service_impl_package, controller_package, is_trim, trim_value FROM t_generator_config;
2019-07-24 11:34:21.820 febs [http-nio-8080-exec-4] INFO  p6spy - 2019-07-24 11:34:21 | 耗时 0 ms | SQL 语句：
SELECT COUNT(1) FROM information_schema.TABLES WHERE TABLE_SCHEMA = 'febs_base';
2019-07-24 11:34:25.213 febs [http-nio-8080-exec-5] INFO  p6spy - 2019-07-24 11:34:25 | 耗时 0 ms | SQL 语句：
SELECT COUNT(1) FROM information_schema.TABLES WHERE TABLE_SCHEMA = 'febs_base';
2019-07-24 11:35:19.229 febs [http-nio-8080-exec-2] INFO  p6spy - 2019-07-24 11:35:19 | 耗时 4 ms | SQL 语句：
SELECT COUNT(1) FROM t_eximport;
2019-07-24 11:35:19.231 febs [http-nio-8080-exec-2] INFO  p6spy - 2019-07-24 11:35:19 | 耗时 0 ms | SQL 语句：
SELECT field1, field2, field3, create_time FROM t_eximport LIMIT 0,10;
2019-07-24 11:35:26.794 febs [http-nio-8080-exec-3] INFO  p6spy - 2019-07-24 11:35:26 | 耗时 0 ms | SQL 语句：
SELECT COUNT(1) FROM t_eximport;
2019-07-24 11:35:26.796 febs [http-nio-8080-exec-3] INFO  p6spy - 2019-07-24 11:35:26 | 耗时 0 ms | SQL 语句：
SELECT field1, field2, field3, create_time FROM t_eximport LIMIT 0,10;
2019-07-24 11:38:38.141 febs [http-nio-8080-exec-5] INFO  p6spy - 2019-07-24 11:38:38 | 耗时 0 ms | SQL 语句：
SELECT r.* FROM t_role r LEFT JOIN t_user_role ur ON (r.role_id = ur.role_id) LEFT JOIN t_user u ON (u.user_id = ur.user_id) WHERE u.username = 'MrBird';
2019-07-24 11:38:38.147 febs [http-nio-8080-exec-5] INFO  p6spy - 2019-07-24 11:38:38 | 耗时 1 ms | SQL 语句：
SELECT m.perms FROM t_role r LEFT JOIN t_user_role ur ON (r.role_id = ur.role_id) LEFT JOIN t_user u ON (u.user_id = ur.user_id) LEFT JOIN t_role_menu rm ON (rm.role_id = r.role_id) LEFT JOIN t_menu m ON (m.menu_id = rm.menu_id) WHERE u.username = 'MrBird' AND m.perms IS NOT NULL AND m.perms <> '';
2019-07-24 11:38:38.153 febs [http-nio-8080-exec-5] INFO  p6spy - 2019-07-24 11:38:38 | 耗时 2 ms | SQL 语句：
SELECT u.user_id userId, u.username, u.email, u.mobile, u.password, u.status, u.create_time createTime, u.ssex sex, u.dept_id deptId, u.last_login_time lastLoginTime, u.modify_time modifyTime, u.description, u.avatar, u.theme, u.is_tab isTab, d.dept_name deptName, GROUP_CONCAT(r.role_id) roleId, GROUP_CONCAT(r.ROLE_NAME) roleName FROM t_user u LEFT JOIN t_dept d ON (u.dept_id = d.dept_id) LEFT JOIN t_user_role ur ON (u.user_id = ur.user_id) LEFT JOIN t_role r ON r.role_id = ur.role_id WHERE u.username = 'MrBird' GROUP BY u.username;
2019-07-24 11:38:38.750 febs [http-nio-8080-exec-3] INFO  p6spy - 2019-07-24 11:38:38 | 耗时 3 ms | SQL 语句：
SELECT m.* FROM t_menu m WHERE m.type <> 1 AND m.MENU_ID IN (SELECT DISTINCT rm.menu_id FROM t_role_menu rm LEFT JOIN t_role r ON (rm.role_id = r.role_id) LEFT JOIN t_user_role ur ON (ur.role_id = r.role_id) LEFT JOIN t_user u ON (u.user_id = ur.user_id) WHERE u.username = 'MrBird') ORDER BY m.order_num;
2019-07-24 11:38:38.903 febs [http-nio-8080-exec-8] INFO  p6spy - 2019-07-24 11:38:38 | 耗时 0 ms | SQL 语句：
UPDATE t_user SET LAST_LOGIN_TIME = '2019-07-24T11:38:38.895+0800' WHERE USERNAME = 'MrBird';
2019-07-24 11:38:38.916 febs [http-nio-8080-exec-8] INFO  p6spy - 2019-07-24 11:38:38 | 耗时 0 ms | SQL 语句：
SELECT count(1) FROM t_login_log;
2019-07-24 11:38:38.920 febs [http-nio-8080-exec-8] INFO  p6spy - 2019-07-24 11:38:38 | 耗时 0 ms | SQL 语句：
SELECT count(1) FROM t_login_log WHERE datediff(login_time, now()) = 0;
2019-07-24 11:38:38.924 febs [http-nio-8080-exec-8] INFO  p6spy - 2019-07-24 11:38:38 | 耗时 0 ms | SQL 语句：
SELECT count(DISTINCT (ip)) FROM t_login_log WHERE datediff(login_time, now()) = 0;
2019-07-24 11:38:38.932 febs [http-nio-8080-exec-8] INFO  p6spy - 2019-07-24 11:38:38 | 耗时 1 ms | SQL 语句：
SELECT date_format(l.login_time, '%m-%d') days, count(1) count FROM (SELECT * FROM t_login_log WHERE date_sub(curdate(), INTERVAL 10 day) <= date(login_time)) AS l WHERE 1 = 1 GROUP BY days;
2019-07-24 11:38:38.936 febs [http-nio-8080-exec-8] INFO  p6spy - 2019-07-24 11:38:38 | 耗时 0 ms | SQL 语句：
SELECT date_format(l.login_time, '%m-%d') days, count(1) count FROM (SELECT * FROM t_login_log WHERE date_sub(curdate(), INTERVAL 10 day) <= date(login_time)) AS l WHERE 1 = 1 AND l.username = 'MrBird' GROUP BY days;
2019-07-24 11:38:41.313 febs [http-nio-8080-exec-6] INFO  p6spy - 2019-07-24 11:38:41 | 耗时 0 ms | SQL 语句：
SELECT r.* FROM t_role r LEFT JOIN t_user_role ur ON (r.role_id = ur.role_id) LEFT JOIN t_user u ON (u.user_id = ur.user_id) WHERE u.username = 'MrBird';
2019-07-24 11:38:41.318 febs [http-nio-8080-exec-6] INFO  p6spy - 2019-07-24 11:38:41 | 耗时 0 ms | SQL 语句：
SELECT m.perms FROM t_role r LEFT JOIN t_user_role ur ON (r.role_id = ur.role_id) LEFT JOIN t_user u ON (u.user_id = ur.user_id) LEFT JOIN t_role_menu rm ON (rm.role_id = r.role_id) LEFT JOIN t_menu m ON (m.menu_id = rm.menu_id) WHERE u.username = 'MrBird' AND m.perms IS NOT NULL AND m.perms <> '';
2019-07-24 11:38:41.323 febs [http-nio-8080-exec-6] INFO  p6spy - 2019-07-24 11:38:41 | 耗时 0 ms | SQL 语句：
SELECT u.user_id userId, u.username, u.email, u.mobile, u.password, u.status, u.create_time createTime, u.ssex sex, u.dept_id deptId, u.last_login_time lastLoginTime, u.modify_time modifyTime, u.description, u.avatar, u.theme, u.is_tab isTab, d.dept_name deptName, GROUP_CONCAT(r.role_id) roleId, GROUP_CONCAT(r.ROLE_NAME) roleName FROM t_user u LEFT JOIN t_dept d ON (u.dept_id = d.dept_id) LEFT JOIN t_user_role ur ON (u.user_id = ur.user_id) LEFT JOIN t_role r ON r.role_id = ur.role_id WHERE u.username = 'MrBird' GROUP BY u.username;
2019-07-24 11:38:41.682 febs [http-nio-8080-exec-10] INFO  p6spy - 2019-07-24 11:38:41 | 耗时 2 ms | SQL 语句：
SELECT m.* FROM t_menu m WHERE m.type <> 1 AND m.MENU_ID IN (SELECT DISTINCT rm.menu_id FROM t_role_menu rm LEFT JOIN t_role r ON (rm.role_id = r.role_id) LEFT JOIN t_user_role ur ON (ur.role_id = r.role_id) LEFT JOIN t_user u ON (u.user_id = ur.user_id) WHERE u.username = 'MrBird') ORDER BY m.order_num;
2019-07-24 11:38:41.774 febs [http-nio-8080-exec-2] INFO  p6spy - 2019-07-24 11:38:41 | 耗时 0 ms | SQL 语句：
UPDATE t_user SET LAST_LOGIN_TIME = '2019-07-24T11:38:41.756+0800' WHERE USERNAME = 'MrBird';
2019-07-24 11:38:41.783 febs [http-nio-8080-exec-2] INFO  p6spy - 2019-07-24 11:38:41 | 耗时 0 ms | SQL 语句：
SELECT count(1) FROM t_login_log;
2019-07-24 11:38:41.785 febs [http-nio-8080-exec-2] INFO  p6spy - 2019-07-24 11:38:41 | 耗时 0 ms | SQL 语句：
SELECT count(1) FROM t_login_log WHERE datediff(login_time, now()) = 0;
2019-07-24 11:38:41.788 febs [http-nio-8080-exec-2] INFO  p6spy - 2019-07-24 11:38:41 | 耗时 0 ms | SQL 语句：
SELECT count(DISTINCT (ip)) FROM t_login_log WHERE datediff(login_time, now()) = 0;
2019-07-24 11:38:41.791 febs [http-nio-8080-exec-2] INFO  p6spy - 2019-07-24 11:38:41 | 耗时 0 ms | SQL 语句：
SELECT date_format(l.login_time, '%m-%d') days, count(1) count FROM (SELECT * FROM t_login_log WHERE date_sub(curdate(), INTERVAL 10 day) <= date(login_time)) AS l WHERE 1 = 1 GROUP BY days;
2019-07-24 11:38:41.797 febs [http-nio-8080-exec-2] INFO  p6spy - 2019-07-24 11:38:41 | 耗时 0 ms | SQL 语句：
SELECT date_format(l.login_time, '%m-%d') days, count(1) count FROM (SELECT * FROM t_login_log WHERE date_sub(curdate(), INTERVAL 10 day) <= date(login_time)) AS l WHERE 1 = 1 AND l.username = 'MrBird' GROUP BY days;
2019-07-24 11:38:50.988 febs [http-nio-8080-exec-2] INFO  p6spy - 2019-07-24 11:38:50 | 耗时 0 ms | SQL 语句：
SELECT COUNT(1) FROM t_job;
2019-07-24 11:38:50.989 febs [http-nio-8080-exec-2] INFO  p6spy - 2019-07-24 11:38:50 | 耗时 0 ms | SQL 语句：
SELECT JOB_ID, bean_name, method_name, params, cron_expression, status, remark, create_time FROM t_job ORDER BY create_time DESC LIMIT 0,10;
2019-07-24 11:39:04.862 febs [http-nio-8080-exec-4] INFO  p6spy - 2019-07-24 11:39:04 | 耗时 0 ms | SQL 语句：
SELECT COUNT(1) FROM t_job;
2019-07-24 11:39:04.863 febs [http-nio-8080-exec-4] INFO  p6spy - 2019-07-24 11:39:04 | 耗时 0 ms | SQL 语句：
SELECT JOB_ID, bean_name, method_name, params, cron_expression, status, remark, create_time FROM t_job ORDER BY create_time DESC LIMIT 0,10;
2019-07-24 11:39:06.039 febs [http-nio-8080-exec-7] INFO  p6spy - 2019-07-24 11:39:06 | 耗时 6 ms | SQL 语句：
SELECT COUNT(1) FROM t_job_log;
2019-07-24 11:39:06.040 febs [http-nio-8080-exec-7] INFO  p6spy - 2019-07-24 11:39:06 | 耗时 0 ms | SQL 语句：
SELECT LOG_ID, job_id, bean_name, method_name, params, status, error, times, create_time FROM t_job_log ORDER BY create_time DESC LIMIT 0,10;
2019-07-24 11:39:08.443 febs [http-nio-8080-exec-10] INFO  p6spy - 2019-07-24 11:39:08 | 耗时 1 ms | SQL 语句：
SELECT COUNT(1) FROM ( SELECT u.user_id userId, u.username, u.email, u.mobile, u.status, u.create_time createTime, u.ssex sex, u.dept_id deptId, u.last_login_time lastLoginTime, u.modify_time modifyTime, u.description, u.avatar, d.dept_name deptName, GROUP_CONCAT(r.role_id) roleId, GROUP_CONCAT(r.ROLE_NAME) roleName FROM t_user u LEFT JOIN t_dept d ON (u.dept_id = d.dept_id) LEFT JOIN t_user_role ur ON (u.user_id = ur.user_id) LEFT JOIN t_role r ON r.role_id = ur.role_id WHERE 1 = 1 GROUP BY u.username ) TOTAL;
2019-07-24 11:39:08.445 febs [http-nio-8080-exec-2] INFO  p6spy - 2019-07-24 11:39:08 | 耗时 2 ms | SQL 语句：
SELECT DEPT_ID, PARENT_ID, DEPT_NAME, ORDER_NUM, CREATE_TIME, MODIFY_TIME FROM t_dept;
2019-07-24 11:39:08.445 febs [http-nio-8080-exec-10] INFO  p6spy - 2019-07-24 11:39:08 | 耗时 1 ms | SQL 语句：
SELECT u.user_id userId, u.username, u.email, u.mobile, u.status, u.create_time createTime, u.ssex sex, u.dept_id deptId, u.last_login_time lastLoginTime, u.modify_time modifyTime, u.description, u.avatar, d.dept_name deptName, GROUP_CONCAT(r.role_id) roleId, GROUP_CONCAT(r.ROLE_NAME) roleName FROM t_user u LEFT JOIN t_dept d ON (u.dept_id = d.dept_id) LEFT JOIN t_user_role ur ON (u.user_id = ur.user_id) LEFT JOIN t_role r ON r.role_id = ur.role_id WHERE 1 = 1 GROUP BY u.username ORDER BY userId ASC LIMIT 0,10;
2019-07-24 11:39:09.735 febs [http-nio-8080-exec-6] INFO  p6spy - 2019-07-24 11:39:09 | 耗时 1 ms | SQL 语句：
SELECT MENU_ID, PARENT_ID, MENU_NAME, URL, PERMS, ICON, TYPE, ORDER_NUM, CREATE_TIME, MODIFY_TIME FROM t_menu ORDER BY ORDER_NUM ASC;
2019-07-24 11:39:09.765 febs [http-nio-8080-exec-1] INFO  p6spy - 2019-07-24 11:39:09 | 耗时 1 ms | SQL 语句：
SELECT COUNT(1) FROM ( SELECT r.role_id roleId, r.role_name roleName, r.remark, r.create_time createTime, r.modify_time modifyTime, GROUP_CONCAT(rm.menu_id) menuIds FROM t_role r LEFT JOIN t_role_menu rm ON (r.role_id = rm.role_id) WHERE 1 = 1 GROUP BY r.role_id ) TOTAL;
2019-07-24 11:39:09.767 febs [http-nio-8080-exec-1] INFO  p6spy - 2019-07-24 11:39:09 | 耗时 1 ms | SQL 语句：
SELECT r.role_id roleId, r.role_name roleName, r.remark, r.create_time createTime, r.modify_time modifyTime, GROUP_CONCAT(rm.menu_id) menuIds FROM t_role r LEFT JOIN t_role_menu rm ON (r.role_id = rm.role_id) WHERE 1 = 1 GROUP BY r.role_id ORDER BY createTime DESC LIMIT 0,10;
2019-07-24 11:39:10.692 febs [http-nio-8080-exec-9] INFO  p6spy - 2019-07-24 11:39:10 | 耗时 0 ms | SQL 语句：
SELECT MENU_ID, PARENT_ID, MENU_NAME, URL, PERMS, ICON, TYPE, ORDER_NUM, CREATE_TIME, MODIFY_TIME FROM t_menu ORDER BY ORDER_NUM ASC;
2019-07-24 11:39:11.877 febs [http-nio-8080-exec-2] INFO  p6spy - 2019-07-24 11:39:11 | 耗时 0 ms | SQL 语句：
SELECT DEPT_ID, PARENT_ID, DEPT_NAME, ORDER_NUM, CREATE_TIME, MODIFY_TIME FROM t_dept ORDER BY ORDER_NUM ASC;
2019-07-24 11:39:28.827 febs [http-nio-8080-exec-6] INFO  p6spy - 2019-07-24 11:39:28 | 耗时 0 ms | SQL 语句：
UPDATE t_user SET MODIFY_TIME = '2019-07-24T11:39:28.822+0800', THEME = 'black', IS_TAB = '1' WHERE USERNAME = 'MrBird';
2019-07-24 11:39:30.161 febs [http-nio-8080-exec-1] INFO  p6spy - 2019-07-24 11:39:30 | 耗时 0 ms | SQL 语句：
SELECT r.* FROM t_role r LEFT JOIN t_user_role ur ON (r.role_id = ur.role_id) LEFT JOIN t_user u ON (u.user_id = ur.user_id) WHERE u.username = 'MrBird';
2019-07-24 11:39:30.166 febs [http-nio-8080-exec-1] INFO  p6spy - 2019-07-24 11:39:30 | 耗时 1 ms | SQL 语句：
SELECT m.perms FROM t_role r LEFT JOIN t_user_role ur ON (r.role_id = ur.role_id) LEFT JOIN t_user u ON (u.user_id = ur.user_id) LEFT JOIN t_role_menu rm ON (rm.role_id = r.role_id) LEFT JOIN t_menu m ON (m.menu_id = rm.menu_id) WHERE u.username = 'MrBird' AND m.perms IS NOT NULL AND m.perms <> '';
2019-07-24 11:39:30.173 febs [http-nio-8080-exec-1] INFO  p6spy - 2019-07-24 11:39:30 | 耗时 1 ms | SQL 语句：
SELECT u.user_id userId, u.username, u.email, u.mobile, u.password, u.status, u.create_time createTime, u.ssex sex, u.dept_id deptId, u.last_login_time lastLoginTime, u.modify_time modifyTime, u.description, u.avatar, u.theme, u.is_tab isTab, d.dept_name deptName, GROUP_CONCAT(r.role_id) roleId, GROUP_CONCAT(r.ROLE_NAME) roleName FROM t_user u LEFT JOIN t_dept d ON (u.dept_id = d.dept_id) LEFT JOIN t_user_role ur ON (u.user_id = ur.user_id) LEFT JOIN t_role r ON r.role_id = ur.role_id WHERE u.username = 'MrBird' GROUP BY u.username;
2019-07-24 11:39:30.493 febs [http-nio-8080-exec-3] INFO  p6spy - 2019-07-24 11:39:30 | 耗时 1 ms | SQL 语句：
SELECT m.* FROM t_menu m WHERE m.type <> 1 AND m.MENU_ID IN (SELECT DISTINCT rm.menu_id FROM t_role_menu rm LEFT JOIN t_role r ON (rm.role_id = r.role_id) LEFT JOIN t_user_role ur ON (ur.role_id = r.role_id) LEFT JOIN t_user u ON (u.user_id = ur.user_id) WHERE u.username = 'MrBird') ORDER BY m.order_num;
2019-07-24 11:39:35.168 febs [http-nio-8080-exec-6] INFO  p6spy - 2019-07-24 11:39:35 | 耗时 0 ms | SQL 语句：
SELECT COUNT(1) FROM t_log;
2019-07-24 11:39:35.170 febs [http-nio-8080-exec-6] INFO  p6spy - 2019-07-24 11:39:35 | 耗时 0 ms | SQL 语句：
SELECT ID, USERNAME, OPERATION, TIME, METHOD, PARAMS, IP, CREATE_TIME, LOCATION FROM t_log ORDER BY create_time DESC LIMIT 0,10;
2019-07-24 11:39:41.750 febs [http-nio-8080-exec-1] INFO  p6spy - 2019-07-24 11:39:41 | 耗时 0 ms | SQL 语句：
UPDATE t_user SET MODIFY_TIME = '2019-07-24T11:39:41.746+0800', THEME = 'white', IS_TAB = '1' WHERE USERNAME = 'MrBird';
2019-07-24 11:39:42.717 febs [http-nio-8080-exec-7] INFO  p6spy - 2019-07-24 11:39:42 | 耗时 0 ms | SQL 语句：
SELECT r.* FROM t_role r LEFT JOIN t_user_role ur ON (r.role_id = ur.role_id) LEFT JOIN t_user u ON (u.user_id = ur.user_id) WHERE u.username = 'MrBird';
2019-07-24 11:39:42.722 febs [http-nio-8080-exec-7] INFO  p6spy - 2019-07-24 11:39:42 | 耗时 1 ms | SQL 语句：
SELECT m.perms FROM t_role r LEFT JOIN t_user_role ur ON (r.role_id = ur.role_id) LEFT JOIN t_user u ON (u.user_id = ur.user_id) LEFT JOIN t_role_menu rm ON (rm.role_id = r.role_id) LEFT JOIN t_menu m ON (m.menu_id = rm.menu_id) WHERE u.username = 'MrBird' AND m.perms IS NOT NULL AND m.perms <> '';
2019-07-24 11:39:42.727 febs [http-nio-8080-exec-7] INFO  p6spy - 2019-07-24 11:39:42 | 耗时 0 ms | SQL 语句：
SELECT u.user_id userId, u.username, u.email, u.mobile, u.password, u.status, u.create_time createTime, u.ssex sex, u.dept_id deptId, u.last_login_time lastLoginTime, u.modify_time modifyTime, u.description, u.avatar, u.theme, u.is_tab isTab, d.dept_name deptName, GROUP_CONCAT(r.role_id) roleId, GROUP_CONCAT(r.ROLE_NAME) roleName FROM t_user u LEFT JOIN t_dept d ON (u.dept_id = d.dept_id) LEFT JOIN t_user_role ur ON (u.user_id = ur.user_id) LEFT JOIN t_role r ON r.role_id = ur.role_id WHERE u.username = 'MrBird' GROUP BY u.username;
2019-07-24 11:39:43.045 febs [http-nio-8080-exec-3] INFO  p6spy - 2019-07-24 11:39:43 | 耗时 2 ms | SQL 语句：
SELECT m.* FROM t_menu m WHERE m.type <> 1 AND m.MENU_ID IN (SELECT DISTINCT rm.menu_id FROM t_role_menu rm LEFT JOIN t_role r ON (rm.role_id = r.role_id) LEFT JOIN t_user_role ur ON (ur.role_id = r.role_id) LEFT JOIN t_user u ON (u.user_id = ur.user_id) WHERE u.username = 'MrBird') ORDER BY m.order_num;
2019-07-24 11:39:44.246 febs [http-nio-8080-exec-4] INFO  p6spy - 2019-07-24 11:39:44 | 耗时 0 ms | SQL 语句：
SELECT DEPT_ID, PARENT_ID, DEPT_NAME, ORDER_NUM, CREATE_TIME, MODIFY_TIME FROM t_dept;
2019-07-24 11:40:06.921 febs [http-nio-8080-exec-6] INFO  p6spy - 2019-07-24 11:40:06 | 耗时 0 ms | SQL 语句：
UPDATE t_user SET DEPT_ID = 1, EMAIL = 'mrbird@qq.com', MOBILE = '17788888888', SSEX = '0', DESCRIPTION = '' WHERE USER_ID = 1;
2019-07-24 11:40:08.172 febs [http-nio-8080-exec-1] INFO  p6spy - 2019-07-24 11:40:08 | 耗时 1 ms | SQL 语句：
SELECT r.* FROM t_role r LEFT JOIN t_user_role ur ON (r.role_id = ur.role_id) LEFT JOIN t_user u ON (u.user_id = ur.user_id) WHERE u.username = 'MrBird';
2019-07-24 11:40:08.177 febs [http-nio-8080-exec-1] INFO  p6spy - 2019-07-24 11:40:08 | 耗时 1 ms | SQL 语句：
SELECT m.perms FROM t_role r LEFT JOIN t_user_role ur ON (r.role_id = ur.role_id) LEFT JOIN t_user u ON (u.user_id = ur.user_id) LEFT JOIN t_role_menu rm ON (rm.role_id = r.role_id) LEFT JOIN t_menu m ON (m.menu_id = rm.menu_id) WHERE u.username = 'MrBird' AND m.perms IS NOT NULL AND m.perms <> '';
2019-07-24 11:40:08.184 febs [http-nio-8080-exec-1] INFO  p6spy - 2019-07-24 11:40:08 | 耗时 0 ms | SQL 语句：
